Data,Importações - (FOB) (Antiga metod. - BPM5) - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM5) (BCB / BP (BPM5)) - BPN_MTV,
1889,116.6,
1890,116.7,
1891,124.2,
1892,127.8,
1893,127.4,
1894,131.9,
1895,142,
1896,135.5,
1897,111.7,
1898,114.5,
1899,109.7,
1900,104,
1901,89.4,
1902,97.2,
1903,101.6,
1904,108.9,
1905,125.9,
1906,139,
1907,169.6,
1908,148.7,
1909,155.5,
1910,201.1,
1911,220.9,
1912,261,
1913,273.6,
1914,146,
1915,115.1,
1916,148.3,
1917,158.6,
1918,193.9,
1919,280.4,
1920,381.8,
1921,201.1,
1922,231.5,
1923,207.7,
1924,282.7,
1925,359.3,
1926,339.6,
1927,335.4,
1928,388.8,
1929,367.7,
1930,225.5,
1931,116.5,
1932,92.8,
1933,148.2,
1934,184.8,
1935,196.5,
1936,196.4,
1937,279.2,
1938,246.5,
1939,218,
1940,227.3,
1941,253.1,
1942,209.5,
1943,275.4,
1944,360.3,
1945,389.4,
1946,584.4,
1947,1056.119,
1948,973.016,
1949,957.4,
1950,941.883,
1951,1724.794,
1952,1720.25,
1953,1144.603,
1954,1414.687,
1955,1103.79,
1956,1074.532,
1957,1285.288,
1958,1177.177,
1959,1209.8,
1960,1292.8,
1961,1291.833,
1962,1303.9,
1963,1294,
1964,1086.4,
1965,940.6,
1966,1303.4,
1967,1441.266,
1968,1855.1,
1969,1993.242,
1970,2506.9,
1971,3247.393,
1972,4232.348,
1973,6192.238,
1974,12641.32,
1975,12210.34,
1976,12382.982,
1977,12023.412,
1978,13683.146,
1979,18083.861,
1980,22955.169,
1981,22090.58,
1982,19394.998,
1983,15428.925,
1984,13915.821,
1985,13153.491,
1986,14044.304,
1987,15050.827,
1988,14605.254,
1989,18263.432738,
1990,20661.362039,
1991,21040.470792,
1992,20554.091051,
1993,25256.000927,
1994,33078.690132,
1995,49971.898,
1996,53345.768,
1997,59747.227,
1998,57714.364,
1999,49210.313,
2000,55783.342,
2001,55572.176,
2002,47240.488,
2003,48290.216,
2004,62834.697626,
2005,73605.508858,
2006,91350.840805,
2007,120617.44625,
2008,173106.690502,
2009,127704.9366,
2010,181768.427438,
2011,226246.755801,
2012,223183.476643,
2013,239634.090082,
2014,229031.01951,
